model,method,pool,input_model,weight
ComboMean-PoolB_GARCH_Neural,multi_model_mean,PoolB_GARCH_Neural,ARIMA-GARCH-LSTM,0.25
ComboMean-PoolB_GARCH_Neural,multi_model_mean,PoolB_GARCH_Neural,Hybrid-QLIKE,0.25
ComboMean-PoolB_GARCH_Neural,multi_model_mean,PoolB_GARCH_Neural,LSTM-QLIKE,0.25
ComboMean-PoolB_GARCH_Neural,multi_model_mean,PoolB_GARCH_Neural,Refit-BestAsymmetric-rolling_1000_monthly,0.25
ComboMedian-PoolB_GARCH_Neural,multi_model_median,PoolB_GARCH_Neural,ARIMA-GARCH-LSTM,
ComboMedian-PoolB_GARCH_Neural,multi_model_median,PoolB_GARCH_Neural,Hybrid-QLIKE,
ComboMedian-PoolB_GARCH_Neural,multi_model_median,PoolB_GARCH_Neural,LSTM-QLIKE,
ComboMedian-PoolB_GARCH_Neural,multi_model_median,PoolB_GARCH_Neural,Refit-BestAsymmetric-rolling_1000_monthly,
ComboStack-PoolC_GARCH_CalibratedNeural,multi_model_stacking,PoolC_GARCH_CalibratedNeural,Calibrated-Hybrid-LogTarget-Small-isotonic,0.6595360783771931
ComboStack-PoolC_GARCH_CalibratedNeural,multi_model_stacking,PoolC_GARCH_CalibratedNeural,Calibrated-Hybrid-QLIKE-isotonic,0.34046392162280686
ComboStack-PoolC_GARCH_CalibratedNeural,multi_model_stacking,PoolC_GARCH_CalibratedNeural,Refit-BestAsymmetric-rolling_1000_monthly,0.0
ComboMean-PoolC_GARCH_CalibratedNeural,multi_model_mean,PoolC_GARCH_CalibratedNeural,Calibrated-Hybrid-LogTarget-Small-isotonic,0.3333333333333333
ComboMean-PoolC_GARCH_CalibratedNeural,multi_model_mean,PoolC_GARCH_CalibratedNeural,Calibrated-Hybrid-QLIKE-isotonic,0.3333333333333333
ComboMean-PoolC_GARCH_CalibratedNeural,multi_model_mean,PoolC_GARCH_CalibratedNeural,Refit-BestAsymmetric-rolling_1000_monthly,0.3333333333333333
ComboMedian-PoolC_GARCH_CalibratedNeural,multi_model_median,PoolC_GARCH_CalibratedNeural,Calibrated-Hybrid-LogTarget-Small-isotonic,
ComboMedian-PoolC_GARCH_CalibratedNeural,multi_model_median,PoolC_GARCH_CalibratedNeural,Calibrated-Hybrid-QLIKE-isotonic,
ComboMedian-PoolC_GARCH_CalibratedNeural,multi_model_median,PoolC_GARCH_CalibratedNeural,Refit-BestAsymmetric-rolling_1000_monthly,
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,ARIMA-GARCH,4.047412649448987e-18
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,ARIMA-GARCH-LSTM,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,AdvGARCH-BestARIMA,7.369263669456757e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,AdvGARCH-BestAsymmetric,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,AdvGARCH-BestHeavyTail,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,AdvGARCH-BestQLIKE,4.428454681015758e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,AdvGARCH-BestSymmetric,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,2.2644617106849465e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-isotonic,4.6872557680916725e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-scale_mean,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-scale_qlike,4.210636759743041e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,8.144669625575673e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-isotonic,0.5758441569527847
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-scale_mean,1.0769574780558033e-16
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-scale_qlike,1.2323845578580724e-16
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-LogTarget-affine_nonnegative,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-LogTarget-isotonic,0.21554100016444985
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-LogTarget-scale_mean,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-LogTarget-scale_qlike,3.01493088910281e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-QLIKE-affine_nonnegative,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-QLIKE-isotonic,5.725085477415362e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-QLIKE-scale_mean,6.419346971188359e-19
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-Hybrid-QLIKE-scale_qlike,3.633861134872507e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-affine_nonnegative,1.9343686710235997e-18
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-isotonic,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-scale_mean,4.826109317428608e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-scale_qlike,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-LogTarget-affine_nonnegative,3.747408184102482e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-LogTarget-isotonic,0.20861484288276463
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-LogTarget-scale_mean,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-LogTarget-scale_qlike,2.6787203376735484e-18
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-QLIKE-affine_nonnegative,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-QLIKE-isotonic,1.537637593292377e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-QLIKE-scale_mean,1.5325225907640386e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-QLIKE-scale_qlike,2.9259217986226692e-18
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-affine_nonnegative,2.92168317753223e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-isotonic,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-scale_mean,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Calibrated-LSTM-scale_qlike,1.3745675387730352e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,"GARCH(1,1)",0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Hybrid-QLIKE,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,LSTM,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,LSTM-QLIKE,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Refit-BestAsymmetric-rolling_1000_monthly,0.0
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Refit-BestGARCHFamily-fixed_train_only,2.483260394369803e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Refit-OriginalARIMAGARCH-expanding_quarterly,5.399032503846694e-18
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,Refit-OriginalGARCH-expanding_quarterly,2.93294519309646e-17
ComboStack-PoolD_AllStable,multi_model_stacking,PoolD_AllStable,RollingVol-20,1.7437960173156106e-17
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,ARIMA-GARCH,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,ARIMA-GARCH-LSTM,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,AdvGARCH-BestARIMA,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,AdvGARCH-BestAsymmetric,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,AdvGARCH-BestHeavyTail,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,AdvGARCH-BestQLIKE,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,AdvGARCH-BestSymmetric,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-isotonic,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-scale_mean,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-scale_qlike,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-isotonic,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-scale_mean,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-scale_qlike,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-LogTarget-affine_nonnegative,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-LogTarget-isotonic,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-LogTarget-scale_mean,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-LogTarget-scale_qlike,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-QLIKE-affine_nonnegative,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-QLIKE-isotonic,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-QLIKE-scale_mean,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-Hybrid-QLIKE-scale_qlike,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-affine_nonnegative,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-isotonic,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-scale_mean,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-scale_qlike,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-LogTarget-affine_nonnegative,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-LogTarget-isotonic,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-LogTarget-scale_mean,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-LogTarget-scale_qlike,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-QLIKE-affine_nonnegative,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-QLIKE-isotonic,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-QLIKE-scale_mean,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-QLIKE-scale_qlike,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-affine_nonnegative,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-isotonic,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-scale_mean,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Calibrated-LSTM-scale_qlike,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,"GARCH(1,1)",0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Hybrid-QLIKE,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,LSTM,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,LSTM-QLIKE,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Refit-BestAsymmetric-rolling_1000_monthly,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Refit-BestGARCHFamily-fixed_train_only,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Refit-OriginalARIMAGARCH-expanding_quarterly,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,Refit-OriginalGARCH-expanding_quarterly,0.020833333333333332
ComboMean-PoolD_AllStable,multi_model_mean,PoolD_AllStable,RollingVol-20,0.020833333333333332
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,ARIMA-GARCH,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,ARIMA-GARCH-LSTM,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,AdvGARCH-BestARIMA,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,AdvGARCH-BestAsymmetric,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,AdvGARCH-BestHeavyTail,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,AdvGARCH-BestQLIKE,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,AdvGARCH-BestSymmetric,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-isotonic,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-scale_mean,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-ARIMA-GARCH-LSTM-scale_qlike,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-isotonic,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-scale_mean,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-LogTarget-Small-scale_qlike,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-LogTarget-affine_nonnegative,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-LogTarget-isotonic,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-LogTarget-scale_mean,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-LogTarget-scale_qlike,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-QLIKE-affine_nonnegative,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-QLIKE-isotonic,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-QLIKE-scale_mean,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-Hybrid-QLIKE-scale_qlike,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-affine_nonnegative,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-isotonic,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-scale_mean,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-LogTarget-Small-scale_qlike,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-LogTarget-affine_nonnegative,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-LogTarget-isotonic,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-LogTarget-scale_mean,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-LogTarget-scale_qlike,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-QLIKE-affine_nonnegative,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-QLIKE-isotonic,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-QLIKE-scale_mean,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-QLIKE-scale_qlike,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-affine_nonnegative,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-isotonic,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-scale_mean,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Calibrated-LSTM-scale_qlike,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,"GARCH(1,1)",
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Hybrid-QLIKE,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,LSTM,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,LSTM-QLIKE,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Refit-BestAsymmetric-rolling_1000_monthly,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Refit-BestGARCHFamily-fixed_train_only,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Refit-OriginalARIMAGARCH-expanding_quarterly,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,Refit-OriginalGARCH-expanding_quarterly,
ComboMedian-PoolD_AllStable,multi_model_median,PoolD_AllStable,RollingVol-20,
